Unnamed: 0,age,workclass,fnlgt,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary,label,predicted_score,predicted_label,type
4595,42,Private,220049,HS-grad,Married-civ-spouse,Sales,Husband,Black,Male,0,0,40,United-States,>50K,1,0.047596335,0,FN
10891,33,Self-emp-not-inc,58702,Assoc-voc,Married-civ-spouse,Prof-specialty,Wife,White,Female,3103,0,50,United-States,>50K,1,0.98654526,1,TP
24818,44,Local-gov,73199,Assoc-voc,Divorced,Tech-support,Unmarried,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K,0,0.0015511453,0,TN
4974,56,Private,282023,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K,1,0.4399229,0,FN
11767,38,State-gov,346766,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K,0,0.00087980274,0,TN
20947,32,Private,30497,Assoc-voc,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,<=50K,0,0.029558431,0,TN
14074,40,Private,73025,HS-grad,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0,0,30,China,<=50K,0,0.0016025398,0,TN
32396,56,Private,135458,HS-grad,Divorced,Tech-support,Not-in-family,Black,Female,0,0,40,United-States,<=50K,0,0.0006479773,0,TN
7677,44,Private,191893,HS-grad,Never-married,Other-service,Own-child,White,Female,0,0,24,United-States,<=50K,0,0.000405985,0,TN
9136,35,Private,126569,Some-college,Married-civ-spouse,Sales,Husband,White,Male,4064,0,40,United-States,<=50K,0,0.005055926,0,TN
10695,54,Federal-gov,21698,Bachelors,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K,0,0.10671447,0,TN
20373,28,Private,205337,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K,0,0.011303864,0,TN
32464,45,Self-emp-inc,173664,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K,1,0.77701604,1,TP
23065,36,Private,408229,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,32,United-States,<=50K,0,0.031038716,0,TN
8193,34,,353881,Assoc-voc,Married-civ-spouse,,Husband,White,Male,3103,0,60,United-States,>50K,1,0.99268216,1,TP
8609,59,Local-gov,283635,Masters,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K,0,0.53769284,1,FP
6299,43,Private,102180,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K,1,0.7991728,1,TP
32041,28,Local-gov,332249,HS-grad,Separated,Transport-moving,Own-child,White,Male,0,0,45,United-States,<=50K,0,0.00032078326,0,TN
24057,49,Private,199763,Some-college,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,35,United-States,<=50K,0,0.0012310634,0,TN
28315,39,Private,365739,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,1,0.27100056,0,FN
20432,59,Private,127728,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K,1,0.7636714,1,TP
19436,35,Private,103986,Assoc-voc,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K,1,0.7561814,1,TP
2643,47,Private,213140,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,7688,0,40,United-States,>50K,1,0.99999785,1,TP
5316,32,Private,152940,Assoc-acdm,Never-married,Adm-clerical,Own-child,White,Male,0,0,30,United-States,<=50K,0,2.2137889e-05,0,TN
18432,37,Private,118681,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,38,Puerto-Rico,<=50K,0,5.5099306e-05,0,TN
165,36,Private,207157,Some-college,Divorced,Other-service,Unmarried,White,Female,0,0,40,Mexico,<=50K,0,0.0014051273,0,TN
22458,39,Self-emp-not-inc,65738,Some-college,Married-civ-spouse,Other-service,Wife,White,Female,0,0,15,United-States,>50K,1,0.004303411,0,FN
24853,18,Private,173585,11th,Never-married,Other-service,Own-child,White,Male,0,0,15,Peru,<=50K,0,5.637536e-07,0,TN
19877,19,Private,208656,Some-college,Never-married,Adm-clerical,Own-child,White,Female,594,0,20,United-States,<=50K,0,3.139166e-07,0,TN
7275,42,State-gov,104663,Doctorate,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,Italy,>50K,1,0.6684873,1,TP
31442,57,Private,334224,Some-college,Married-civ-spouse,Craft-repair,Wife,White,Female,9386,0,40,United-States,>50K,1,0.9999598,1,TP
7662,40,Self-emp-not-inc,95226,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,<=50K,0,0.028690424,0,TN
15748,56,Private,282023,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K,0,0.45618325,0,TN
18798,21,Private,205838,HS-grad,Never-married,Other-service,Own-child,White,Male,0,0,37,United-States,<=50K,0,1.3469043e-05,0,TN
13939,35,Private,42044,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,30,United-States,<=50K,0,0.0018859556,0,TN
17165,44,Self-emp-inc,33126,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,80,United-States,<=50K,0,0.8006652,1,FP
15988,32,Local-gov,190889,Masters,Never-married,Prof-specialty,Not-in-family,Other,Female,0,0,40,,<=50K,0,6.2677376e-05,0,TN
2752,53,Self-emp-not-inc,174102,7th-8th,Married-civ-spouse,Exec-managerial,Husband,White,Male,4386,0,50,Greece,>50K,1,0.92092973,1,TP
23350,34,Private,144798,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,0,0.0027121918,0,TN
12958,36,Private,355053,HS-grad,Separated,Other-service,Unmarried,Black,Female,0,0,28,United-States,<=50K,0,2.6902359e-05,0,TN
32314,18,Never-worked,153663,Some-college,Never-married,,Own-child,White,Male,0,0,4,United-States,<=50K,0,3.1158557e-05,0,TN
31375,35,Private,108293,Bachelors,Widowed,Prof-specialty,Unmarried,White,Female,0,0,32,United-States,>50K,1,0.03497415,0,FN
193,47,Private,120939,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,45,United-States,<=50K,0,0.81831706,1,FP
30131,35,Private,63021,Some-college,Divorced,Sales,Not-in-family,White,Female,0,0,35,United-States,<=50K,0,0.010734854,0,TN
23144,21,Private,296158,10th,Married-civ-spouse,Other-service,Husband,White,Male,0,0,25,United-States,<=50K,0,5.462943e-06,0,TN
26172,59,Self-emp-inc,141326,Assoc-voc,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,>50K,1,0.41283187,0,FN
19565,28,Private,389713,HS-grad,Divorced,Protective-serv,Not-in-family,White,Male,0,0,40,United-States,<=50K,0,0.00051208725,0,TN
2252,44,Private,175935,Doctorate,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,55,United-States,>50K,1,0.9960491,1,TP
28327,36,Private,191335,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,56,United-States,<=50K,0,0.95911205,1,FP
24368,40,Private,151408,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K,0,0.08099483,0,TN
21683,48,Private,268234,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,<=50K,0,0.014523331,0,TN
6260,42,Private,341204,HS-grad,Divorced,Craft-repair,Other-relative,White,Female,0,0,40,United-States,<=50K,0,2.2782804e-05,0,TN
13210,77,Private,117898,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K,1,0.48527443,0,FN
7100,57,,208311,Bachelors,Married-civ-spouse,,Husband,White,Male,0,0,80,United-States,>50K,1,0.684223,1,TP
4490,29,Private,107458,Bachelors,Never-married,Sales,Not-in-family,White,Male,0,0,50,United-States,<=50K,0,0.042065762,0,TN
16672,40,Private,118001,10th,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,<=50K,0,0.09040885,0,TN
25543,26,Private,358124,HS-grad,Never-married,Other-service,Other-relative,Black,Female,0,0,40,United-States,<=50K,0,6.101498e-08,0,TN
24294,30,Private,101266,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K,0,0.0132712275,0,TN
1844,53,Private,121618,7th-8th,Never-married,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K,0,0.00012026084,0,TN
18766,18,Private,36275,HS-grad,Never-married,Craft-repair,Own-child,White,Male,0,0,25,United-States,<=50K,0,2.4274193e-06,0,TN
22779,27,Private,221252,HS-grad,Never-married,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,0,0,8,United-States,<=50K,0,3.1532913e-08,0,TN
9839,55,Private,223613,1st-4th,Divorced,Priv-house-serv,Unmarried,White,Female,0,0,30,Cuba,<=50K,0,8.467785e-07,0,TN
15212,23,Private,306601,Bachelors,Never-married,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Male,0,0,40,Mexico,<=50K,0,3.4901639e-06,0,TN
32457,33,Private,139057,Masters,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Male,0,0,50,United-States,>50K,1,0.7605555,1,TP
14190,69,Private,41419,7th-8th,Married-civ-spouse,Other-service,Husband,White,Male,0,0,20,United-States,<=50K,0,0.0013466073,0,TN
9122,34,Private,202210,HS-grad,Never-married,Other-service,Unmarried,Black,Female,0,0,40,United-States,<=50K,0,0.0020514042,0,TN
30323,21,State-gov,110946,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,0,0,43,United-States,<=50K,0,3.3832025e-06,0,TN
8023,42,Private,69019,Some-college,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,>50K,1,0.16576627,0,FN
14030,40,Private,184378,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,Puerto-Rico,<=50K,0,0.10318725,0,TN
3811,38,Private,206535,Some-college,Divorced,Tech-support,Unmarried,White,Female,0,0,50,United-States,<=50K,0,0.023327895,0,TN
29552,34,Private,293703,Some-college,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,Philippines,<=50K,0,0.16171643,0,TN
17709,39,Private,76417,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K,1,0.9617763,1,TP
4019,25,Self-emp-inc,163039,Assoc-acdm,Never-married,Sales,Not-in-family,White,Male,0,0,60,United-States,<=50K,0,0.04518277,0,TN
19582,24,Private,204172,Bachelors,Never-married,Sales,Other-relative,White,Female,0,0,40,United-States,<=50K,0,7.0299306e-05,0,TN
30830,33,,314913,11th,Divorced,,Own-child,White,Male,0,0,53,United-States,<=50K,0,0.0014197715,0,TN
20466,25,Private,109080,Some-college,Never-married,Craft-repair,Own-child,White,Male,0,0,55,United-States,<=50K,0,0.0003434925,0,TN
255,42,Self-emp-not-inc,303044,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,0,0,40,Cambodia,>50K,1,0.0006346128,0,FN
18105,25,Private,243786,Bachelors,Never-married,Other-service,Not-in-family,White,Female,0,0,37,United-States,<=50K,0,0.0011742936,0,TN
27547,50,Self-emp-not-inc,27539,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,7688,0,40,United-States,>50K,1,0.9997441,1,TP
3910,48,Private,185039,HS-grad,Divorced,Sales,Unmarried,White,Female,0,0,30,United-States,<=50K,0,0.0009699756,0,TN
9955,48,Self-emp-not-inc,362883,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,0,0,60,United-States,>50K,1,0.86060554,1,TP
4325,25,Private,308144,Bachelors,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,Mexico,<=50K,0,8.070362e-05,0,TN
14506,57,Self-emp-not-inc,264148,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,45,United-States,<=50K,0,0.002204167,0,TN
17719,22,Private,237720,HS-grad,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K,0,0.0009381124,0,TN
12677,47,Private,193047,Doctorate,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,50,United-States,>50K,1,0.99999976,1,TP
7358,29,Private,116613,Bachelors,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,Portugal,<=50K,0,0.00012043401,0,TN
30437,28,Private,403671,HS-grad,Never-married,Other-service,Other-relative,White,Male,0,0,40,Mexico,<=50K,0,2.4252233e-06,0,TN
23509,62,Private,266624,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,6418,0,40,United-States,>50K,1,0.9931415,1,TP
24211,75,Private,316119,Some-college,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,8,United-States,<=50K,0,0.0001681641,0,TN
28921,29,Private,119793,Some-college,Never-married,Sales,Other-relative,White,Male,0,0,50,United-States,<=50K,0,0.00049566914,0,TN
6948,60,,124487,Some-college,Divorced,,Not-in-family,White,Female,0,0,40,United-States,>50K,1,0.006880632,0,FN
6223,27,Private,72208,Some-college,Never-married,Adm-clerical,Own-child,Black,Male,0,0,40,United-States,<=50K,0,4.504159e-06,0,TN
22102,33,State-gov,290614,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K,0,0.0028860332,0,TN
5923,42,Private,110028,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,0,0.03146642,0,TN
25648,32,Self-emp-not-inc,84119,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K,0,0.42009938,0,TN
1609,50,Private,21095,Some-college,Divorced,Other-service,Unmarried,Asian-Pac-Islander,Male,0,0,40,Philippines,<=50K,0,3.5353958e-05,0,TN
22914,52,Private,443742,Some-college,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,60,United-States,<=50K,0,0.42370293,0,TN
12767,20,Private,94364,Some-college,Never-married,Prof-specialty,Not-in-family,Other,Female,0,0,20,United-States,<=50K,0,3.4257297e-07,0,TN
23636,70,,148065,Some-college,Married-civ-spouse,,Husband,White,Male,0,0,4,United-States,>50K,1,0.00079387735,0,FN
13740,18,Private,318190,11th,Never-married,Other-service,Own-child,White,Male,0,0,15,United-States,<=50K,0,9.319699e-07,0,TN
14250,59,Private,95165,Doctorate,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K,0,0.99201435,1,FP
16897,40,Private,219266,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,50,United-States,>50K,1,0.9999893,1,TP
17197,58,Private,239523,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K,1,0.80007505,1,TP
1735,64,Self-emp-not-inc,134960,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,35,United-States,>50K,1,0.9998105,1,TP
7883,47,Self-emp-not-inc,174533,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,0,0.16593003,0,TN
7640,44,Private,99203,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K,0,0.0063140118,0,TN
2364,22,Private,181773,HS-grad,Never-married,Transport-moving,Own-child,Black,Male,0,0,40,United-States,<=50K,0,4.5033084e-06,0,TN
16639,39,Private,435638,Some-college,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K,0,0.0058623864,0,TN
18115,28,State-gov,155397,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,55,United-States,<=50K,0,0.029281365,0,TN
11543,65,Private,205309,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,20,United-States,<=50K,0,0.00034579987,0,TN
24393,23,Private,193090,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,38,United-States,<=50K,0,1.694079e-05,0,TN
28941,28,Private,166320,HS-grad,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K,0,0.00020687781,0,TN
21044,60,Self-emp-inc,181196,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,1,0.49595016,0,FN
25301,26,Private,50053,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,<=50K,0,0.6908828,1,FP
2934,23,Private,240063,Bachelors,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,25,United-States,<=50K,0,1.3405865e-09,0,TN
30514,21,Private,237051,Some-college,Never-married,Other-service,Own-child,White,Female,0,0,25,United-States,<=50K,0,1.3519453e-06,0,TN
726,44,Private,111502,HS-grad,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,<=50K,0,0.3335679,0,TN
19894,23,Local-gov,324637,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,30,United-States,<=50K,0,2.7761313e-05,0,TN
7928,44,Private,288433,Some-college,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,<=50K,0,3.941935e-05,0,TN
27348,23,Private,146499,HS-grad,Separated,Machine-op-inspct,Unmarried,White,Female,0,0,48,United-States,<=50K,0,2.0014047e-06,0,TN
8143,19,Private,389755,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,16,United-States,<=50K,0,1.0291727e-07,0,TN
13108,37,Local-gov,52465,HS-grad,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K,0,0.0005778953,0,TN
14600,37,Private,37109,HS-grad,Married-civ-spouse,Other-service,Wife,Asian-Pac-Islander,Female,0,0,60,Philippines,<=50K,0,0.02450273,0,TN
