feature,feature value,n_samples,precision,recall,fbeta,fscore
marital-status,Married-AF-spouse,3,1.0,0.5,0.6666666666666666,0.6666666666666666
occupation,Adm-clerical,727,0.7236842105263158,0.5612244897959183,0.6321839080459769,0.6321839080459769
occupation,Priv-house-serv,26,1.0,1.0,1.0,1.0
occupation,Exec-managerial,798,0.7983651226158038,0.7670157068062827,0.7823765020026703,0.7823765020026703
occupation,Prof-specialty,838,0.7814207650273224,0.779291553133515,0.7803547066848566,0.7803547066848566
occupation,Handlers-cleaners,270,0.3333333333333333,0.13333333333333333,0.19047619047619044,0.19047619047619044
occupation,,0,1.0,1.0,1.0,1.0
occupation,Sales,757,0.6751269035532995,0.6456310679611651,0.6600496277915633,0.6600496277915633
occupation,Other-service,670,0.5625,0.32142857142857145,0.40909090909090917,0.40909090909090917
occupation,Protective-serv,121,0.8,0.6153846153846154,0.6956521739130435,0.6956521739130435
occupation,Craft-repair,792,0.5,0.4049079754601227,0.44745762711864406,0.44745762711864406
occupation,Tech-support,196,0.7346938775510204,0.6545454545454545,0.6923076923076923,0.6923076923076923
occupation,Machine-op-inspct,435,0.4375,0.30434782608695654,0.358974358974359,0.358974358974359
occupation,Farming-fishing,203,0.5384615384615384,0.2916666666666667,0.3783783783783784,0.3783783783783784
occupation,Transport-moving,310,0.4883720930232558,0.31343283582089554,0.38181818181818183,0.38181818181818183
occupation,Armed-Forces,4,1.0,1.0,1.0,1.0
relationship,Unmarried,719,0.88,0.44,0.5866666666666667,0.5866666666666667
relationship,Own-child,1020,0.8,0.5,0.6153846153846154,0.6153846153846154
relationship,Husband,2623,0.6987060998151571,0.6631578947368421,0.6804680468046805,0.6804680468046805
relationship,Wife,303,0.7380952380952381,0.6595744680851063,0.6966292134831461,0.6966292134831461
relationship,Other-relative,201,0.6,0.3333333333333333,0.42857142857142855,0.42857142857142855
relationship,Not-in-family,1642,0.8095238095238095,0.4913294797687861,0.6115107913669064,0.6115107913669064
race,White,5592,0.7202572347266881,0.64,0.6777609682299546,0.6777609682299546
race,Asian-Pac-Islander,189,0.6923076923076923,0.6136363636363636,0.6506024096385543,0.6506024096385543
race,Black,609,0.6206896551724138,0.5070422535211268,0.5581395348837208,0.5581395348837208
race,Other,64,0.8,0.5714285714285714,0.6666666666666666,0.6666666666666666
race,Amer-Indian-Eskimo,54,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
sex,Female,2142,0.7613636363636364,0.5800865800865801,0.6584766584766585,0.6584766584766585
sex,Male,4366,0.707731520815633,0.6417565485362096,0.6731313131313131,0.6731313131313131
native-country,United-States,5820,0.7142857142857143,0.6344086021505376,0.6719817767653758,0.6719817767653758
native-country,Thailand,4,1.0,0.6666666666666666,0.8,0.8
native-country,Nicaragua,8,1.0,1.0,1.0,1.0
native-country,Philippines,33,0.5454545454545454,1.0,0.7058823529411764,0.7058823529411764
native-country,Columbia,14,1.0,0.0,0.0,0.0
native-country,El-Salvador,22,1.0,0.75,0.8571428571428571,0.8571428571428571
native-country,,0,1.0,1.0,1.0,1.0
native-country,Mexico,125,0.75,0.3333333333333333,0.46153846153846156,0.46153846153846156
native-country,China,13,0.5,1.0,0.6666666666666666,0.6666666666666666
native-country,Puerto-Rico,27,0.5,0.5,0.5,0.5
native-country,Peru,6,1.0,1.0,1.0,1.0
native-country,Italy,21,1.0,0.7777777777777778,0.8750000000000001,0.8750000000000001
native-country,Greece,5,1.0,0.5,0.6666666666666666,0.6666666666666666
native-country,Cuba,22,0.5,0.5,0.5,0.5
native-country,Cambodia,7,1.0,0.0,0.0,0.0
native-country,Portugal,18,1.0,0.5,0.6666666666666666,0.6666666666666666
native-country,Japan,8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
native-country,Canada,25,0.8181818181818182,0.75,0.7826086956521738,0.7826086956521738
native-country,Dominican-Republic,17,1.0,0.0,0.0,0.0
native-country,Jamaica,15,0.0,0.0,0.0,0.0
native-country,India,17,1.0,0.5,0.6666666666666666,0.6666666666666666
native-country,Haiti,7,1.0,0.0,0.0,0.0
native-country,Germany,29,0.7777777777777778,1.0,0.8750000000000001,0.8750000000000001
native-country,South,12,0.75,0.75,0.75,0.75
native-country,Outlying-US(Guam-USVI-etc),1,1.0,1.0,1.0,1.0
native-country,Laos,3,1.0,1.0,1.0,1.0
native-country,Hong,3,1.0,0.5,0.6666666666666666,0.6666666666666666
native-country,Iran,7,0.5,1.0,0.6666666666666666,0.6666666666666666
native-country,Poland,12,1.0,0.2,0.33333333333333337,0.33333333333333337
native-country,England,21,0.4,0.4,0.4000000000000001,0.4000000000000001
native-country,Ireland,3,1.0,0.5,0.6666666666666666,0.6666666666666666
native-country,Taiwan,9,0.6666666666666666,0.4,0.5,0.5
native-country,France,9,1.0,0.5,0.6666666666666666,0.6666666666666666
native-country,Scotland,3,1.0,1.0,1.0,1.0
native-country,Yugoslavia,4,0.0,0.0,0.0,0.0
native-country,Guatemala,12,1.0,1.0,1.0,1.0
native-country,Ecuador,6,1.0,1.0,1.0,1.0
native-country,Trinadad&Tobago,3,1.0,1.0,1.0,1.0
native-country,Hungary,2,1.0,1.0,1.0,1.0
native-country,Vietnam,9,0.0,1.0,0.0,0.0
native-country,Honduras,4,1.0,1.0,1.0,1.0
